date,value
2005-05-30,3093
2005-06-06,2821
2005-06-13,2543
2005-06-20,2617
2005-06-27,2486
2005-07-04,2365
2005-07-11,2307
2005-07-18,2054
2005-07-25,1804
2005-08-01,1819
2005-08-08,2125
2005-08-15,2478
2005-08-22,2625
2005-08-29,2479
2005-09-05,2626
2005-09-12,2949
2005-09-19,3069
2005-09-26,2907
2005-10-03,3098
2005-10-10,3370
2005-10-17,3130
2005-10-24,3140
2005-10-31,2967
2005-11-07,3033
2005-11-14,2898
2005-11-21,2757
2005-11-28,2767
2005-12-05,2639
2005-12-12,2536
2005-12-19,2407
2006-01-02,2497
2006-01-09,2341
2006-01-16,2121
2006-01-23,2057
2006-01-30,2145
2006-02-06,2297
2006-02-13,2740
2006-02-20,2622
2006-02-27,2682
2006-03-06,2704
2006-03-13,2502
2006-03-20,2565
2006-03-27,2496
2006-04-03,2514
2006-04-10,2503
2006-04-17,2434
2006-04-24,2368
2006-05-01,2383
2006-05-08,2491
2006-05-15,2479
2006-05-22,2432
2006-05-29,2514
2006-06-05,2653
2006-06-12,2725
2006-06-19,2808
2006-06-26,2964
2006-07-03,2870
2006-07-10,2968
2006-07-17,3191
2006-07-24,3260
2006-07-31,3617
2006-08-07,3714
2006-08-14,3755
2006-08-21,3690
2006-08-28,3875
2006-09-04,3914
2006-09-11,4258
2006-09-18,4136
2006-09-25,3944
2006-10-02,3964
2006-10-09,4169
2006-10-16,4017
2006-10-23,3982
2006-10-30,4188
2006-11-06,4210
2006-11-13,4129
2006-11-20,4185
2006-11-27,4369
2006-12-04,4294
2006-12-11,4318
2006-12-18,4397
2007-01-01,4539
2007-01-08,4642
2007-01-15,4362
2007-01-22,4367
2007-01-29,4243
2007-02-05,4328
2007-02-12,4355
2007-02-19,4545
2007-02-26,4872
2007-03-05,5000
2007-03-12,5086
2007-03-19,5330
2007-03-26,5388
2007-04-02,5532
2007-04-09,5553
2007-04-16,5850
2007-04-23,6230
2007-04-30,6321
2007-05-07,6648
2007-05-14,6554
2007-05-21,6212
2007-05-28,5983
2007-06-04,5736
2007-06-11,5258
2007-06-18,5922
2007-06-25,6278
2007-07-02,6201
2007-07-09,6706
2007-07-16,6601
2007-07-23,6890
2007-07-30,7007
2007-08-06,7011
2007-08-13,7313
2007-08-20,7277
2007-08-27,7702
2007-09-03,8410
2007-09-10,8302
2007-09-17,8956
2007-09-24,9474
2007-10-01,9535
2007-10-08,10695
2007-10-15,10798
2007-10-22,11025
2007-10-29,10548
2007-11-05,10867
2007-11-12,10870
2007-11-19,10148
2007-11-26,10210
2007-12-03,10068
2007-12-10,9918
2007-12-17,9236
2007-12-24,9143
2007-12-31,8702
2008-01-07,7949
2008-01-14,6462
2008-01-21,5780
2008-01-28,6134
2008-02-04,6353
2008-02-11,7355
2008-02-18,7187
2008-02-25,7613
2008-03-03,8536
2008-03-10,7972
2008-03-17,7684
2008-03-24,8069
2008-03-31,7737
2008-04-07,7889
2008-04-14,8203
2008-04-21,9329
2008-04-28,9581
2008-05-05,10237
2008-05-12,11459
2008-05-19,11465
2008-05-26,11440
2008-06-02,11612
2008-06-09,9646
2008-06-16,9428
2008-06-23,9599
2008-06-30,8854
2008-07-07,9230
2008-07-14,9012
2008-07-21,8637
2008-07-28,8280
2008-08-04,7201
2008-08-11,7557
2008-08-18,7147
2008-08-25,6809
2008-09-01,5663
2008-09-08,4800
2008-09-15,4975
