date,value
2006-11-01,139
2006-11-02,69
2006-11-03,93
2006-11-06,128
2006-11-07,177
2006-11-08,166
2006-11-09,150
2006-11-10,126
2006-11-13,190
2006-11-14,223
2006-11-15,257
2006-11-16,245
2006-11-17,117
2006-11-20,198
2006-11-21,193
2006-11-22,232
2006-11-24,138
2006-11-27,79
2006-11-28,59
2006-11-29,155
2006-11-30,188
2006-12-01,156
2006-12-04,274
2006-12-05,306
2006-12-06,186
2006-12-07,173
2006-12-08,109
2006-12-11,139
2006-12-12,140
2006-12-13,168
2006-12-14,231
2006-12-15,210
2006-12-18,141
2006-12-19,78
2006-12-20,148
2006-12-21,106
2006-12-22,56
2006-12-26,96
2006-12-27,196
2006-12-28,165
2006-12-29,87
2007-01-03,198
2007-01-04,95
2007-01-05,54
2007-01-08,69
2007-01-09,82
2007-01-10,90
2007-01-11,171
2007-01-12,167
2007-01-16,194
2007-01-17,152
2007-01-18,133
2007-01-19,107
2007-01-22,104
2007-01-23,137
2007-01-24,175
2007-01-25,176
2007-01-26,77
2007-01-29,128
2007-01-30,139
2007-01-31,192
2007-02-01,260
2007-02-02,246
2007-02-05,206
2007-02-06,243
2007-02-07,285
2007-02-08,218
2007-02-09,160
2007-02-12,79
2007-02-13,141
2007-02-14,265
2007-02-15,226
2007-02-16,162
2007-02-20,276
2007-02-21,223
2007-02-22,209
2007-02-23,132
2007-02-26,169
2007-02-27,43
2007-02-28,32
2007-03-01,40
2007-03-02,32
2007-03-05,17
2007-03-06,32
2007-03-07,35
2007-03-08,55
2007-03-09,54
2007-03-12,76
2007-03-13,56
2007-03-14,28
2007-03-15,52
2007-03-16,60
2007-03-19,77
2007-03-20,100
2007-03-21,164
2007-03-22,178
2007-03-23,137
2007-03-26,142
2007-03-27,77
2007-03-28,75
2007-03-29,91
2007-03-30,106
2007-04-02,140
2007-04-03,207
2007-04-04,159
2007-04-05,134
2007-04-09,193
2007-04-10,164
2007-04-11,119
2007-04-12,119
2007-04-13,158
2007-04-16,265
2007-04-17,244
2007-04-18,162
2007-04-19,139
2007-04-20,239
2007-04-23,225
2007-04-24,168
2007-04-25,265
2007-04-26,229
2007-04-27,143
2007-04-30,146
2007-05-01,60
2007-05-02,159
2007-05-03,178
2007-05-04,188
2007-05-07,198
2007-05-08,126
2007-05-09,200
2007-05-10,116
2007-05-11,104
2007-05-14,164
2007-05-15,152
2007-05-16,133
2007-05-17,137
2007-05-18,193
2007-05-21,224
2007-05-22,183
2007-05-23,195
2007-05-24,100
2007-05-25,63
2007-05-29,131
2007-05-30,160
2007-05-31,283
2007-06-01,292
2007-06-04,251
2007-06-05,153
2007-06-06,49
2007-06-07,32
2007-06-08,35
2007-06-11,64
2007-06-12,39
2007-06-13,92
2007-06-14,178
2007-06-15,277
2007-06-18,203
2007-06-19,155
2007-06-20,184
2007-06-21,85
2007-06-22,83
2007-06-25,63
2007-06-26,48
2007-06-27,53
2007-06-28,93
2007-06-29,109
2007-07-02,168
2007-07-03,171
2007-07-05,175
2007-07-06,197
2007-07-09,227
2007-07-10,91
2007-07-11,87
2007-07-12,245
2007-07-13,265
2007-07-16,197
2007-07-17,191
2007-07-18,108
2007-07-19,216
2007-07-20,87
2007-07-23,130
2007-07-24,56
2007-07-25,41
2007-07-26,33
2007-07-27,17
2007-07-30,20
2007-07-31,26
2007-08-01,24
2007-08-02,35
2007-08-03,37
2007-08-06,29
2007-08-07,51
2007-08-08,114
2007-08-09,75
2007-08-10,29
2007-08-13,21
2007-08-14,11
2007-08-15,13
2007-08-16,9
2007-08-17,26
2007-08-20,9
2007-08-21,13
2007-08-22,19
2007-08-23,16
2007-08-24,25
2007-08-27,33
2007-08-28,13
2007-08-29,19
2007-08-30,21
2007-08-31,34
2007-09-04,54
2007-09-05,30
2007-09-06,38
2007-09-07,19
2007-09-10,26
2007-09-11,40
2007-09-12,51
2007-09-13,50
2007-09-14,45
2007-09-17,41
2007-09-18,112
2007-09-19,175
2007-09-20,81
2007-09-21,118
2007-09-24,99
2007-09-25,59
2007-09-26,121
2007-09-27,141
2007-09-28,129
2007-10-01,196
2007-10-02,144
2007-10-03,79
2007-10-04,74
2007-10-05,174
2007-10-08,127
2007-10-09,155
2007-10-10,157
2007-10-11,231
2007-10-12,71
2007-10-15,110
2007-10-16,68
2007-10-17,91
2007-10-18,97
2007-10-19,58
2007-10-22,32
2007-10-23,69
2007-10-24,59
2007-10-25,99
2007-10-26,176
2007-10-29,182
2007-10-30,96
2007-10-31,171
2007-11-01,64
2007-11-02,77
2007-11-05,61
2007-11-06,126
2007-11-07,91
2007-11-08,57
2007-11-09,29
2007-11-12,19
2007-11-13,29
2007-11-14,42
2007-11-15,24
2007-11-16,34
2007-11-19,32
2007-11-20,37
2007-11-21,21
2007-11-23,18
2007-11-26,28
2007-11-27,23
2007-11-28,52
2007-11-29,52
2007-11-30,68
2007-12-03,50
2007-12-04,38
2007-12-05,71
2007-12-06,91
2007-12-07,107
2007-12-10,105
2007-12-11,101
2007-12-12,55
2007-12-13,26
2007-12-14,37
2007-12-17,21
2007-12-18,21
2007-12-19,25
2007-12-20,41
2007-12-21,94
2007-12-24,92
2007-12-26,93
2007-12-27,57
2007-12-28,41
2007-12-31,32
2008-01-02,46
2008-01-03,52
2008-01-04,25
2008-01-07,36
2008-01-08,51
2008-01-09,35
2008-01-10,41
2008-01-11,28
2008-01-14,49
2008-01-15,19
2008-01-16,25
2008-01-17,19
2008-01-18,11
2008-01-22,13
2008-01-23,15
2008-01-24,13
2008-01-25,16
2008-01-28,12
2008-01-29,15
2008-01-30,21
2008-01-31,24
2008-02-01,42
2008-02-04,39
2008-02-05,15
2008-02-06,17
2008-02-07,15
2008-02-08,26
2008-02-11,41
2008-02-12,50
2008-02-13,35
2008-02-14,40
2008-02-15,17
2008-02-19,47
2008-02-20,41
2008-02-21,42
2008-02-22,22
2008-02-25,60
2008-02-26,75
2008-02-27,58
2008-02-28,60
2008-02-29,29
2008-03-03,36
2008-03-04,28
2008-03-05,37
2008-03-06,31
2008-03-07,19
2008-03-10,15
2008-03-11,23
2008-03-12,33
2008-03-13,33
2008-03-14,46
2008-03-17,23
2008-03-18,27
2008-03-19,32
2008-03-20,28
2008-03-24,41
2008-03-25,33
2008-03-26,24
2008-03-27,28
2008-03-28,21
2008-03-31,17
2008-04-01,37
2008-04-02,55
2008-04-03,55
2008-04-04,68
2008-04-07,83
2008-04-08,45
