date,value
2006-11-06,103
2006-11-07,135
2006-11-08,130
2006-11-09,116
2006-11-10,102
2006-11-13,137
2006-11-14,187
2006-11-15,238
2006-11-16,176
2006-11-17,117
2006-11-20,145
2006-11-21,139
2006-11-22,134
2006-11-24,106
2006-11-27,76
2006-11-28,59
2006-11-29,99
2006-11-30,109
2006-12-01,76
2006-12-04,156
2006-12-05,167
2006-12-06,122
2006-12-07,110
2006-12-08,91
2006-12-11,118
2006-12-12,89
2006-12-13,94
2006-12-14,123
2006-12-15,134
2006-12-18,96
2006-12-19,65
2006-12-20,74
2006-12-21,75
2006-12-22,59
2006-12-26,85
2006-12-27,145
2006-12-28,124
2006-12-29,93
2007-01-03,110
2007-01-04,75
2007-01-05,53
2007-01-08,74
2007-01-09,80
2007-01-10,90
2007-01-11,125
2007-01-12,131
2007-01-16,164
2007-01-17,124
2007-01-18,89
2007-01-19,65
2007-01-22,72
2007-01-23,96
2007-01-24,126
2007-01-25,98
2007-01-26,85
2007-01-29,131
2007-01-30,131
2007-01-31,132
2007-02-01,154
2007-02-02,144
2007-02-05,153
2007-02-06,122
2007-02-07,158
2007-02-08,143
2007-02-09,128
2007-02-12,92
2007-02-13,112
2007-02-14,151
2007-02-15,136
2007-02-16,137
2007-02-20,193
2007-02-21,171
2007-02-22,151
2007-02-23,143
2007-02-26,142
2007-02-27,42
2007-02-28,45
2007-03-01,46
2007-03-02,51
2007-03-05,34
2007-03-06,47
2007-03-07,58
2007-03-08,70
2007-03-09,59
2007-03-12,69
2007-03-13,53
2007-03-14,46
2007-03-15,64
2007-03-16,50
2007-03-19,82
2007-03-20,74
2007-03-21,110
2007-03-22,117
2007-03-23,112
2007-03-26,103
2007-03-27,85
2007-03-28,83
2007-03-29,74
2007-03-30,79
2007-04-02,98
2007-04-03,137
2007-04-04,123
2007-04-05,116
2007-04-09,135
2007-04-10,120
2007-04-11,92
2007-04-12,109
2007-04-13,137
2007-04-16,199
2007-04-17,158
2007-04-18,106
2007-04-19,84
2007-04-20,124
2007-04-23,126
2007-04-24,114
2007-04-25,126
2007-04-26,150
2007-04-27,131
2007-04-30,119
2007-05-01,84
2007-05-02,118
2007-05-03,135
2007-05-04,133
2007-05-07,121
2007-05-08,103
2007-05-09,126
2007-05-10,102
2007-05-11,102
2007-05-14,108
2007-05-15,86
2007-05-16,81
2007-05-17,89
2007-05-18,88
2007-05-21,137
2007-05-22,130
2007-05-23,125
2007-05-24,66
2007-05-25,63
2007-05-29,94
2007-05-30,100
2007-05-31,154
2007-06-01,181
2007-06-04,137
2007-06-05,119
2007-06-06,62
2007-06-07,55
2007-06-08,49
2007-06-11,75
2007-06-12,66
2007-06-13,79
2007-06-14,107
2007-06-15,154
2007-06-18,129
2007-06-19,133
2007-06-20,129
2007-06-21,83
2007-06-22,94
2007-06-25,77
2007-06-26,60
2007-06-27,79
2007-06-28,129
2007-06-29,124
2007-07-02,164
2007-07-03,174
2007-07-05,160
2007-07-06,153
2007-07-09,192
2007-07-10,112
2007-07-11,99
2007-07-12,186
2007-07-13,178
2007-07-16,185
2007-07-17,163
2007-07-18,78
2007-07-19,149
2007-07-20,80
2007-07-23,107
2007-07-24,61
2007-07-25,58
2007-07-26,47
2007-07-27,48
2007-07-30,49
2007-07-31,66
2007-08-01,49
2007-08-02,63
2007-08-03,59
2007-08-06,53
2007-08-07,87
2007-08-08,168
2007-08-09,95
2007-08-10,38
2007-08-13,34
2007-08-14,32
2007-08-15,25
2007-08-16,19
2007-08-17,56
2007-08-20,36
2007-08-21,34
2007-08-22,48
2007-08-23,40
2007-08-24,40
2007-08-27,53
2007-08-28,27
2007-08-29,33
2007-08-30,47
2007-08-31,58
2007-09-04,92
2007-09-05,71
2007-09-06,69
2007-09-07,45
2007-09-10,44
2007-09-11,48
2007-09-12,75
2007-09-13,83
2007-09-14,65
2007-09-17,61
2007-09-18,102
2007-09-19,163
2007-09-20,95
2007-09-21,128
2007-09-24,110
2007-09-25,76
2007-09-26,125
2007-09-27,119
2007-09-28,110
2007-10-01,161
2007-10-02,177
2007-10-03,124
2007-10-04,108
2007-10-05,189
2007-10-08,160
2007-10-09,189
2007-10-10,168
2007-10-11,190
2007-10-12,87
2007-10-15,104
2007-10-16,74
2007-10-17,112
2007-10-18,91
2007-10-19,53
2007-10-22,50
2007-10-23,104
2007-10-24,80
2007-10-25,112
2007-10-26,128
2007-10-29,157
2007-10-30,107
2007-10-31,116
2007-11-01,90
2007-11-02,74
2007-11-05,73
2007-11-06,103
2007-11-07,72
2007-11-08,54
2007-11-09,37
2007-11-12,47
2007-11-13,48
2007-11-14,57
2007-11-15,47
2007-11-16,39
2007-11-19,34
2007-11-20,29
2007-11-21,24
2007-11-23,39
2007-11-26,35
2007-11-27,30
2007-11-28,43
2007-11-29,64
2007-11-30,61
2007-12-03,55
2007-12-04,47
2007-12-05,61
2007-12-06,76
2007-12-07,82
2007-12-10,82
2007-12-11,77
2007-12-12,44
2007-12-13,42
2007-12-14,36
2007-12-17,29
2007-12-18,32
2007-12-19,39
2007-12-20,61
2007-12-21,104
2007-12-24,102
2007-12-26,108
2007-12-27,60
2007-12-28,38
2007-12-31,44
2008-01-02,37
2008-01-03,49
2008-01-04,26
2008-01-07,40
2008-01-08,47
2008-01-09,34
2008-01-10,46
2008-01-11,37
2008-01-14,34
2008-01-15,25
2008-01-16,38
2008-01-17,29
2008-01-18,23
2008-01-22,22
2008-01-23,25
2008-01-24,25
2008-01-25,29
2008-01-28,26
2008-01-29,32
2008-01-30,31
2008-01-31,35
2008-02-01,46
2008-02-04,45
2008-02-05,27
2008-02-06,29
2008-02-07,24
2008-02-08,32
2008-02-11,35
2008-02-12,40
2008-02-13,38
2008-02-14,45
2008-02-15,33
2008-02-19,29
2008-02-20,34
2008-02-21,45
2008-02-22,22
2008-02-25,35
2008-02-26,41
2008-02-27,45
2008-02-28,43
2008-02-29,16
2008-03-03,19
2008-03-04,27
2008-03-05,37
2008-03-06,34
2008-03-07,32
2008-03-10,22
2008-03-11,22
2008-03-12,35
2008-03-13,39
2008-03-14,38
2008-03-17,25
2008-03-18,35
2008-03-19,34
2008-03-20,37
2008-03-24,43
2008-03-25,36
2008-03-26,35
2008-03-27,39
2008-03-28,26
2008-03-31,34
2008-04-01,42
2008-04-02,49
2008-04-03,35
2008-04-04,58
2008-04-07,56
2008-04-08,29
2008-04-09,45
