date,value
2006-11-07,52
2006-11-08,49
2006-11-09,59
2006-11-10,47
2006-11-13,43
2006-11-14,61
2006-11-15,46
2006-11-16,44
2006-11-17,57
2006-11-20,55
2006-11-21,50
2006-11-22,53
2006-11-24,84
2006-11-27,54
2006-11-28,43
2006-11-29,49
2006-11-30,51
2006-12-01,55
2006-12-04,34
2006-12-05,32
2006-12-06,49
2006-12-07,48
2006-12-08,44
2006-12-11,31
2006-12-12,49
2006-12-13,50
2006-12-14,46
2006-12-15,41
2006-12-18,43
2006-12-19,45
2006-12-20,48
2006-12-21,52
2006-12-22,55
2006-12-26,62
2006-12-27,45
2006-12-28,31
2006-12-29,28
2007-01-03,37
2007-01-04,50
2007-01-05,54
2007-01-08,57
2007-01-09,59
2007-01-10,61
2007-01-11,44
2007-01-12,43
2007-01-16,41
2007-01-17,45
2007-01-18,57
2007-01-19,59
2007-01-22,51
2007-01-23,44
2007-01-24,46
2007-01-25,53
2007-01-26,53
2007-01-29,45
2007-01-30,30
2007-01-31,44
2007-02-01,46
2007-02-02,47
2007-02-05,52
2007-02-06,63
2007-02-07,42
2007-02-08,56
2007-02-09,58
2007-02-12,50
2007-02-13,51
2007-02-14,38
2007-02-15,44
2007-02-16,59
2007-02-20,37
2007-02-21,45
2007-02-22,54
2007-02-23,34
2007-02-26,46
2007-02-27,66
2007-02-28,52
2007-03-01,66
2007-03-02,81
2007-03-05,112
2007-03-06,69
2007-03-07,71
2007-03-08,82
2007-03-09,82
2007-03-12,62
2007-03-13,96
2007-03-14,113
2007-03-15,61
2007-03-16,88
2007-03-19,60
2007-03-20,71
2007-03-21,49
2007-03-22,52
2007-03-23,47
2007-03-26,39
2007-03-27,67
2007-03-28,72
2007-03-29,71
2007-03-30,71
2007-04-02,73
2007-04-03,63
2007-04-04,64
2007-04-05,56
2007-04-09,52
2007-04-10,58
2007-04-11,63
2007-04-12,71
2007-04-13,55
2007-04-16,40
2007-04-17,53
2007-04-18,54
2007-04-19,61
2007-04-20,56
2007-04-23,57
2007-04-24,59
2007-04-25,20
2007-04-26,55
2007-04-27,74
2007-04-30,72
2007-05-01,65
2007-05-02,53
2007-05-03,59
2007-05-04,50
2007-05-07,44
2007-05-08,60
2007-05-09,61
2007-05-10,70
2007-05-11,73
2007-05-14,73
2007-05-15,95
2007-05-16,80
2007-05-17,78
2007-05-18,72
2007-05-21,50
2007-05-22,49
2007-05-23,47
2007-05-24,65
2007-05-25,65
2007-05-29,51
2007-05-30,53
2007-05-31,53
2007-06-01,45
2007-06-04,45
2007-06-05,63
2007-06-06,73
2007-06-07,94
2007-06-08,79
2007-06-11,67
2007-06-12,79
2007-06-13,78
2007-06-14,60
2007-06-15,65
2007-06-18,47
2007-06-19,62
2007-06-20,65
2007-06-21,79
2007-06-22,82
2007-06-25,75
2007-06-26,82
2007-06-27,80
2007-06-28,66
2007-06-29,60
2007-07-02,73
2007-07-03,88
2007-07-05,75
2007-07-06,65
2007-07-09,60
2007-07-10,102
2007-07-11,86
2007-07-12,63
2007-07-13,72
2007-07-16,77
2007-07-17,74
2007-07-18,121
2007-07-19,93
2007-07-20,159
2007-07-23,111
2007-07-24,187
2007-07-25,172
2007-07-26,231
2007-07-27,181
2007-07-30,178
