date,value
2017-01-19,29.88
2017-01-20,43.35
2017-01-23,44.18
2017-01-24,68.49
2017-01-25,76.89
2017-01-26,63.14
2017-01-27,52.03
2017-01-30,24.28
2017-01-31,36.85
2017-02-01,41.44
2017-02-02,47.29
2017-02-03,73.4
2017-02-06,54.3
2017-02-07,45.63
2017-02-08,41.63
2017-02-09,59.99
2017-02-10,75.6
2017-02-13,74.44
2017-02-14,69.46
2017-02-15,67.52
2017-02-16,55.4
2017-02-17,53.68
2017-02-21,61.97
2017-02-22,51.39
2017-02-23,44.34
2017-02-24,40.93
2017-02-27,53.77
2017-02-28,32.09
2017-03-01,64.62
2017-03-02,42.52
2017-03-03,42.21
2017-03-06,30.05
2017-03-07,21.74
2017-03-08,25.01
2017-03-09,28.68
2017-03-10,44.38
2017-03-13,56.96
2017-03-14,44.95
2017-03-15,71.87
2017-03-16,71.81
2017-03-17,68.89
2017-03-20,53.67
2017-03-21,18.44
2017-03-22,19.88
2017-03-23,31.8
2017-03-24,44.79
2017-03-27,58.57
2017-03-28,70.51
2017-03-29,69.6
2017-03-30,72.01
2017-03-31,69.1
2017-04-03,41.73
2017-04-04,39.05
2017-04-05,25.55
2017-04-06,46.78
2017-04-07,51.91
2017-04-10,56.38
2017-04-11,66.21
2017-04-12,37.1
2017-04-13,24.19
2017-04-17,50.33
2017-04-18,50.58
2017-04-19,59.99
2017-04-20,71.43
2017-04-21,60.54
2017-04-24,73.84
2017-04-25,77.61
2017-04-26,74.7
2017-04-27,63.7
2017-04-28,40.1
2017-05-01,43.14
2017-05-02,40.24
2017-05-03,34.42
2017-05-04,37.89
2017-05-05,50.44
2017-05-08,49.75
2017-05-09,49.06
2017-05-10,55.32
2017-05-11,42.7
2017-05-12,37.28
2017-05-15,54.75
2017-05-16,50.96
2017-05-17,17.74
2017-05-18,24.46
2017-05-19,44.71
2017-05-22,63.29
2017-05-23,70.05
2017-05-24,63.92
2017-05-25,56.24
2017-05-26,51.18
2017-05-30,38.38
2017-05-31,40.24
2017-06-01,70.84
2017-06-02,74.07
2017-06-05,60.66
2017-06-06,45.99
2017-06-07,39.54
2017-06-08,55.53
2017-06-09,60.85
2017-06-12,58.79
2017-06-13,65.77
2017-06-14,50.18
2017-06-15,39.06
2017-06-16,40.36
2017-06-19,55
2017-06-20,36.49
2017-06-21,34.82
2017-06-22,41.84
2017-06-23,58.88
2017-06-26,67.12
2017-06-27,49.12
2017-06-28,68.62
2017-06-29,49.3
2017-06-30,51.53
2017-07-03,63.34
2017-07-05,46.16
2017-07-06,25.34
2017-07-07,48.14
2017-07-10,40.88
2017-07-11,49.75
2017-07-12,70.38
2017-07-13,65.24
2017-07-14,69.51
2017-07-17,64.99
2017-07-18,51.12
2017-07-19,66.11
2017-07-20,60.65
