date,value
2006-11-02,66.72
2006-11-03,66.47
2006-11-06,70.91
2006-11-07,70.96
2006-11-08,71.9
2006-11-09,68.57
2006-11-10,70.58
2006-11-13,70.54
2006-11-14,74.57
2006-11-15,75.56
2006-11-16,74.92
2006-11-17,73.97
2006-11-20,73.92
2006-11-21,73.64
2006-11-22,74.62
2006-11-24,74.05
2006-11-27,65.36
2006-11-28,66.42
2006-11-29,70.89
2006-11-30,72.46
2006-12-01,70.4
2006-12-04,75.44
2006-12-05,76.13
2006-12-06,75.61
2006-12-07,73.59
2006-12-08,72.65
2006-12-11,72.77
2006-12-12,70.54
2006-12-13,67.78
2006-12-14,69.56
2006-12-15,68.58
2006-12-18,62.84
2006-12-19,62.22
2006-12-20,62.28
2006-12-21,60.8
2006-12-22,58.49
2006-12-26,61.97
2006-12-27,66.71
2006-12-28,65.38
2006-12-29,62.92
2007-01-03,62.4
2007-01-04,63.89
2007-01-05,53.57
2007-01-08,54.43
2007-01-09,54.49
2007-01-10,53.4
2007-01-11,58.79
2007-01-12,61.71
2007-01-16,60.9
2007-01-17,59.96
2007-01-18,55.16
2007-01-19,58.53
2007-01-22,54.53
2007-01-23,57.57
2007-01-24,61.73
2007-01-25,54.46
2007-01-26,55.31
2007-01-29,55.95
2007-01-30,59.69
2007-01-31,62.94
2007-02-01,67.38
2007-02-02,68.02
2007-02-05,66.89
2007-02-06,67.94
2007-02-07,69.24
2007-02-08,68.63
2007-02-09,64.58
2007-02-12,61.58
2007-02-13,64.59
2007-02-14,66.39
2007-02-15,66.95
2007-02-16,67.39
2007-02-20,69.49
2007-02-21,69.18
2007-02-22,69.25
2007-02-23,68.56
2007-02-26,67.9
2007-02-27,47.58
2007-02-28,49.91
2007-03-01,45.75
2007-03-02,37.72
2007-03-05,30.49
2007-03-06,37.69
2007-03-07,37.72
2007-03-08,42.5
2007-03-09,43.73
2007-03-12,46.51
2007-03-13,35.01
2007-03-14,36.29
2007-03-15,39.64
2007-03-16,38.46
2007-03-19,43.04
2007-03-20,47.07
2007-03-21,56.79
2007-03-22,56.93
2007-03-23,58.28
2007-03-26,57.71
2007-03-27,53.9
2007-03-28,48.69
2007-03-29,50.57
2007-03-30,52.18
2007-04-02,53.49
2007-04-03,59.34
2007-04-04,59.33
2007-04-05,61.92
2007-04-09,60.15
2007-04-10,61.68
2007-04-11,57.25
2007-04-12,60.05
2007-04-16,66.99
2007-04-17,66.1
2007-04-18,65.54
2007-04-19,63.41
2007-04-20,68.31
2007-04-23,66.91
2007-04-24,66.28
2007-04-25,68.35
2007-04-26,67.63
2007-04-27,66.1
2007-04-30,60.93
2007-05-01,60.88
2007-05-02,66.69
2007-05-03,65.86
2007-05-04,67.24
2007-05-07,67.68
2007-05-08,66.03
2007-05-09,67.77
2007-05-10,60.14
2007-05-11,64.33
2007-05-14,60.54
2007-05-15,56.4
2007-05-16,57.63
2007-05-17,55.06
2007-05-18,56.61
2007-05-21,58.87
2007-05-22,60.41
2007-05-23,58.15
2007-05-24,51.03
2007-05-25,54.07
2007-05-29,56.69
2007-05-30,58.12
2007-05-31,60.51
2007-06-01,62.85
2007-06-04,63.18
2007-06-05,59.42
2007-06-06,54.75
2007-06-07,43.4
2007-06-08,48.48
2007-06-11,47.9
2007-06-12,40.2
2007-06-13,45.98
