date,value
2006-11-02,49.33
2006-11-03,48.93
2006-11-06,59
2006-11-07,59.65
2006-11-08,62.43
2006-11-09,55.57
2006-11-10,60.4
2006-11-13,60.62
2006-11-14,67.99
2006-11-15,69.8
2006-11-16,69
2006-11-17,68
2006-11-20,68.01
2006-11-21,68.75
2006-11-22,69.96
2006-11-24,69.8
2006-11-27,50.43
2006-11-28,54.2
2006-11-29,64.63
2006-11-30,66.44
2006-12-01,61.26
2006-12-04,71.73
2006-12-05,73.54
2006-12-06,70.58
2006-12-07,66.08
2006-12-08,63.68
2006-12-11,64.04
2006-12-12,59.45
2006-12-13,56.99
2006-12-14,60.39
2006-12-15,58.14
2006-12-18,48.29
2006-12-19,48.32
2006-12-20,49.34
2006-12-21,47.46
2006-12-22,44.72
2006-12-26,50.7
2006-12-27,58.35
2006-12-28,56.21
2006-12-29,50.83
2007-01-03,51.46
2007-01-04,53.8
2007-01-05,38.67
2007-01-08,41.63
2007-01-09,43.34
2007-01-10,43.93
2007-01-11,52.28
2007-01-12,57.83
2007-01-16,57.18
2007-01-17,57.05
2007-01-18,50.55
2007-01-19,56.27
2007-01-22,51.19
2007-01-23,57.39
2007-01-24,62.99
2007-01-25,51.14
2007-01-26,53.99
2007-01-29,55.8
2007-01-30,61.99
2007-01-31,65.74
2007-02-01,71.86
2007-02-02,73.92
2007-02-05,70.68
2007-02-06,72.34
2007-02-07,73.22
2007-02-08,72.14
2007-02-09,63.68
2007-02-12,59.52
2007-02-13,64.42
2007-02-14,66.53
2007-02-15,66.68
2007-02-16,66.62
2007-02-20,68.28
2007-02-21,68.07
2007-02-22,67.94
2007-02-23,64.24
2007-02-26,61.46
2007-02-27,29.38
2007-02-28,31.86
2007-03-01,28.49
2007-03-02,22.9
2007-03-05,17.49
2007-03-06,23.74
2007-03-07,24.77
2007-03-08,29.62
2007-03-09,32.36
2007-03-12,38.03
2007-03-13,23.99
2007-03-14,25.74
2007-03-15,31.9
2007-03-16,30.43
2007-03-19,40.25
2007-03-20,51.65
2007-03-21,68.17
2007-03-22,70.08
2007-03-23,72.78
2007-03-26,73.48
2007-03-27,68.39
2007-03-28,60.77
2007-03-29,62.47
2007-03-30,64.88
2007-04-02,64.7
2007-04-03,71.31
2007-04-04,69.68
2007-04-05,72.15
2007-04-09,68.28
2007-04-10,70.72
2007-04-11,63.07
2007-04-12,65.25
2007-04-16,73.8
2007-04-17,71.69
2007-04-18,67.82
2007-04-19,62.16
2007-04-20,69.69
2007-04-23,67.24
2007-04-24,65.15
2007-04-25,68.43
2007-04-26,65.96
2007-04-27,61.74
2007-04-30,50.87
2007-05-01,50.27
2007-05-02,59.48
2007-05-03,59.46
2007-05-04,61.48
2007-05-07,61.56
2007-05-08,57.76
2007-05-09,59.51
2007-05-10,44.62
2007-05-11,52.84
2007-05-14,47.69
2007-05-15,42.28
2007-05-16,46.61
2007-05-17,42.89
2007-05-18,47.53
2007-05-21,52.35
2007-05-22,55.92
2007-05-23,53.71
2007-05-24,40.34
2007-05-25,47.81
2007-05-29,53.2
2007-05-30,57.24
2007-05-31,61.01
2007-06-01,67.27
2007-06-04,68.06
2007-06-05,61.7
2007-06-06,50.84
2007-06-07,32.66
2007-06-08,41.16
2007-06-11,41.33
2007-06-12,29.34
2007-06-13,39.45
2007-06-14,44.47
2007-06-15,53.02
2007-06-18,52.09
2007-06-19,54.34
2007-06-20,42.16
2007-06-21,45.51
2007-06-22,37.95
2007-06-25,32.08
2007-06-26,30.15
2007-06-27,38.4
2007-06-28,41.42
2007-06-29,42.7
2007-07-02,56.01
2007-07-03,59.3
2007-07-05,59.94
2007-07-06,62.88
2007-07-09,62.74
2007-07-10,49.41
2007-07-11,49.89
2007-07-12,60.75
2007-07-13,60.31
2007-07-16,54.42
2007-07-17,53.81
2007-07-18,51.08
2007-07-19,54.71
2007-07-20,43.74
2007-07-23,43.03
2007-07-24,26.68
2007-07-25,25.53
2007-07-26,14.6
2007-07-27,12.62
2007-07-30,14.55
2007-07-31,15.2
2007-08-01,15.05
2007-08-02,19.08
2007-08-03,13.82
2007-08-06,17.03
2007-08-07,21.45
2007-08-08,32.58
2007-08-09,26.87
2007-08-10,24.85
2007-08-13,22.33
2007-08-14,15.28
2007-08-15,12.69
2007-08-16,18.74
2007-08-17,28.76
2007-08-20,32.48
2007-08-21,37.63
2007-08-22,53.24
2007-08-23,53.02
2007-08-24,64.48
2007-08-27,59.82
2007-08-28,37.2
2007-08-29,60.67
2007-08-30,58.22
2007-08-31,69.58
2007-09-04,75.22
2007-09-05,65.49
2007-09-06,69.65
2007-09-07,55.95
2007-09-10,50.46
2007-09-11,60.26
2007-09-12,55.9
2007-09-13,56.42
2007-09-14,55.52
2007-09-17,47.96
2007-09-18,71.64
2007-09-19,74.32
2007-09-20,67.78
2007-09-21,69.47
2007-09-24,64.53
2007-09-25,60.89
2007-09-26,63.3
2007-09-27,66.14
2007-09-28,62.74
2007-10-01,71.23
2007-10-02,74.11
2007-10-03,70.63
2007-10-04,71.93
2007-10-05,77.2
2007-10-08,73.64
2007-10-09,75.79
2007-10-10,73.57
2007-10-11,65.82
2007-10-12,67.39
2007-10-15,55.74
2007-10-16,47.81
2007-10-17,49.26
2007-10-18,48.46
2007-10-19,30.25
2007-10-22,31.17
2007-10-23,39.09
2007-10-24,35.06
2007-10-25,34.41
2007-10-26,42.27
2007-10-29,44.56
2007-10-30,41.5
2007-10-31,49.72
2007-11-01,31.28
2007-11-02,32.99
2007-11-05,28.74
2007-11-06,34.87
2007-11-07,22.69
2007-11-08,23.77
2007-11-09,19.45
2007-11-12,17.28
2007-11-13,28.12
2007-11-14,25.57
2007-11-15,20.31
2007-11-16,20.26
2007-11-19,13.85
2007-11-20,15.19
2007-11-21,12.42
2007-11-23,19.57
2007-11-26,13.37
2007-11-27,18.01
2007-11-28,38.8
2007-11-29,40.66
2007-11-30,49.52
2007-12-03,48.04
2007-12-04,43.61
2007-12-05,55.96
2007-12-06,69.45
2007-12-07,70.66
2007-12-10,73.28
2007-12-11,55.9
2007-12-12,58.41
2007-12-13,53.07
2007-12-14,38.57
2007-12-17,25.21
2007-12-18,31.5
2007-12-19,30.77
2007-12-20,36.47
2007-12-21,48.24
2007-12-24,54.53
2007-12-26,54.03
2007-12-27,39.88
2007-12-28,39.25
2007-12-31,39.72
2008-01-02,34.75
2008-01-03,36.15
2008-01-04,27.7
2008-01-07,29.09
2008-01-08,27.65
2008-01-09,30.91
2008-01-10,35.31
2008-01-11,31.21
2008-01-14,35.59
2008-01-15,29.07
2008-01-16,30.95
2008-01-17,24.54
2008-01-18,21.59
2008-01-22,20.66
2008-01-23,31.91
2008-01-24,34.86
2008-01-25,35.14
2008-01-28,43.43
2008-01-29,49.16
2008-01-30,48.83
2008-01-31,59.21
2008-02-01,68.48
2008-02-04,68.22
2008-02-05,53.18
2008-02-06,48.25
2008-02-07,52.59
2008-02-08,51.34
2008-02-11,53.14
2008-02-12,58.7
2008-02-13,65
2008-02-14,51.85
2008-02-15,48.92
2008-02-19,48.39
2008-02-20,50.67
2008-02-21,40.16
2008-02-22,42.32
2008-02-25,51.66
2008-02-26,57.87
2008-02-27,56.5
2008-02-28,47.93
2008-02-29,32.24
2008-03-03,31.02
2008-03-04,27.92
2008-03-05,31.4
2008-03-06,20.63
2008-03-07,17.59
2008-03-10,12.42
2008-03-11,27.35
2008-03-12,23.74
2008-03-13,30.52
2008-03-14,21.17
2008-03-17,16.03
2008-03-18,32.38
2008-03-19,23.25
2008-03-20,34.79
2008-03-24,48.74
2008-03-25,57.14
2008-03-26,58.32
2008-03-27,56.51
2008-03-28,50.15
2008-03-31,56.87
2008-04-01,74.35
2008-04-02,76.55
2008-04-03,77.75
2008-04-04,78.06
2008-04-07,77.25
2008-04-08,74.02
2008-04-09,63.95
2008-04-10,67.66
2008-04-11,51.22
2008-04-14,46.43
2008-04-15,47.4
2008-04-16,64.01
2008-04-17,60.45
2008-04-18,69.03
2008-04-21,64.95
2008-04-22,54.15
2008-04-23,56.16
2008-04-24,62.52
2008-04-25,64.14
2008-04-28,65.21
2008-04-29,60.87
2008-04-30,60.7
2008-05-01,67.4
2008-05-02,66.88
2008-05-05,65.76
2008-05-06,68.5
2008-05-07,59.03
2008-05-08,60.14
2008-05-09,57.91
