date,value
2018-12-07,9.26
2018-12-10,13.29
2018-12-11,26.81
2018-12-12,58.12
2018-12-13,37.33
2018-12-14,14.74
2018-12-17,4.64
2018-12-18,10.2
2018-12-19,6.96
2018-12-20,6.56
2018-12-21,5.25
2018-12-24,5.06
2018-12-26,78.52
2018-12-27,83.68
2018-12-28,90.98
2018-12-31,88.24
2019-01-02,76.89
2019-01-03,39.41
2019-01-04,85.81
2019-01-07,89.64
2019-01-08,89.94
2019-01-09,91.26
2019-01-10,80.79
2019-01-11,70.42
2019-01-14,42.11
2019-01-15,59.31
2019-01-16,63.37
2019-01-17,76.9
2019-01-18,85.35
2019-01-22,44.96
2019-01-23,36.55
2019-01-24,50.86
2019-01-25,71.76
2019-01-28,61.16
2019-01-29,51.17
2019-01-30,66.87
2019-01-31,74.82
2019-02-01,76.14
2019-02-04,83.02
2019-02-05,77.13
2019-02-06,62.9
2019-02-07,43.49
2019-02-08,39.73
2019-02-11,56.3
2019-02-12,80.89
2019-02-13,80.97
2019-02-14,73.11
2019-02-15,83.09
2019-02-19,77.49
2019-02-20,72.14
2019-02-21,55.4
2019-02-22,67.51
2019-02-25,57.36
2019-02-26,43.14
2019-02-27,49.18
2019-02-28,40.79
2019-03-01,60.32
2019-03-04,42.63
2019-03-05,34.76
2019-03-06,15.43
2019-03-07,11.45
2019-03-08,15.03
2019-03-11,61.96
2019-03-12,72.05
2019-03-13,76.86
2019-03-14,60.18
2019-03-15,59.46
2019-03-18,66.73
2019-03-19,49.74
2019-03-20,35.51
2019-03-21,61.1
2019-03-22,11.46
2019-03-25,18.85
2019-03-26,46.72
2019-03-27,44.77
2019-03-28,65.67
2019-03-29,73.25
2019-04-01,80.94
2019-04-02,74.51
2019-04-03,73.58
2019-04-04,68.34
2019-04-05,78.31
2019-04-08,71.6
2019-04-09,32.81
2019-04-10,62.34
2019-04-11,54.73
2019-04-12,64.71
2019-04-15,51.85
2019-04-16,55.86
2019-04-17,43.2
2019-04-18,35.08
2019-04-22,33.4
2019-04-23,69.38
2019-04-24,71.34
2019-04-25,55.15
2019-04-26,66.9
2019-04-29,66.18
2019-04-30,55.77
2019-05-01,33.09
2019-05-02,43.67
2019-05-03,77.49
2019-05-06,71.12
2019-05-07,28.08
2019-05-08,23.45
2019-05-09,21.91
2019-05-10,38.16
2019-05-13,10.8
2019-05-14,25.72
2019-05-15,45.16
2019-05-16,63.16
2019-05-17,44.23
2019-05-20,28.93
2019-05-21,57.26
2019-05-22,37.79
2019-05-23,15.44
2019-05-24,29.55
2019-05-28,20.92
2019-05-29,21.54
2019-05-30,29.48
2019-05-31,15
2019-06-03,28.98
2019-06-04,79.75
2019-06-05,75.12
2019-06-06,69.06
2019-06-07,68.85
2019-06-10,68.03
2019-06-11,60.32
2019-06-12,57.34
2019-06-13,69.47
2019-06-14,43.26
2019-06-17,50.2
2019-06-18,76.54
2019-06-19,75.9
2019-06-20,74.66
2019-06-21,52.57
2019-06-24,27.42
2019-06-25,18.35
2019-06-26,29.58
2019-06-27,69.07
2019-06-28,86.17
2019-07-01,86.99
2019-07-02,71.51
2019-07-03,72.31
2019-07-05,66.94
2019-07-08,36.15
2019-07-09,46.79
2019-07-10,46.28
2019-07-11,42.56
2019-07-12,65.49
2019-07-15,51.96
2019-07-16,44.73
2019-07-17,34.5
2019-07-18,48.45
2019-07-19,38.84
2019-07-22,41.21
2019-07-23,57.54
2019-07-24,73.96
2019-07-25,56.77
2019-07-26,73.39
2019-07-29,53.63
2019-07-30,63.03
2019-07-31,44.34
2019-08-01,23.62
2019-08-02,18
2019-08-05,7.18
2019-08-06,18.12
2019-08-07,31.25
2019-08-08,78.02
2019-08-09,67.18
2019-08-12,31.59
2019-08-13,55.99
2019-08-14,11.15
2019-08-15,14.59
2019-08-16,64.54
2019-08-19,82.27
2019-08-20,71.08
2019-08-21,79.01
2019-08-22,51.46
2019-08-23,7.93
2019-08-26,23.48
2019-08-27,16.8
2019-08-28,45.4
2019-08-29,84.96
2019-08-30,75.23
2019-09-03,34.65
2019-09-04,51.71
2019-09-05,78.45
2019-09-06,71.38
2019-09-09,71.69
2019-09-10,72.42
2019-09-11,79.6
2019-09-12,76.17
2019-09-13,68.67
2019-09-16,63.26
2019-09-17,49.42
2019-09-18,38.7
2019-09-19,34.33
2019-09-20,34.85
2019-09-23,36.21
2019-09-24,16.14
2019-09-25,46.71
2019-09-26,30.37
2019-09-27,23.74
2019-09-30,35.66
2019-10-01,14.95
2019-10-02,13.7
2019-10-03,33.85
2019-10-04,64.07
2019-10-07,66.25
2019-10-08,21.7
2019-10-09,31.67
2019-10-10,47.6
2019-10-11,80.74
2019-10-14,75.44
2019-10-15,83.03
2019-10-16,72.5
2019-10-17,77.08
2019-10-18,57.81
2019-10-21,67.88
2019-10-22,59.64
2019-10-23,55.99
2019-10-24,54.59
2019-10-25,61.37
2019-10-28,73.69
2019-10-29,70.35
2019-10-30,59.45
2019-10-31,38.45
2019-11-01,68.12
2019-11-04,72.7
2019-11-05,69.97
2019-11-06,55.79
2019-11-07,51.63
2019-11-08,55.89
2019-11-11,49.05
2019-11-12,51.38
2019-11-13,43.25
2019-11-14,40.21
2019-11-15,54.71
2019-11-18,47.16
2019-11-19,58.39
2019-11-20,46.47
2019-11-21,39.12
2019-11-22,47.86
2019-11-25,78.6
2019-11-26,75.42
2019-11-27,79.4
2019-11-29,59.6
2019-12-02,24.89
2019-12-03,23.43
2019-12-04,38.75
2019-12-05,50.41
2019-12-06,75.07
2019-12-09,62.04
2019-12-10,55.89
2019-12-11,56.83
2019-12-12,66.31
2019-12-13,64.12
2019-12-16,70.59
2019-12-17,69.31
2019-12-18,62.42
2019-12-19,69.69
2019-12-20,66.66
2019-12-23,59.41
2019-12-24,63.8
2019-12-26,57.11
2019-12-27,41.78
2019-12-30,28.58
2019-12-31,40.31
2020-01-02,55.66
2020-01-03,45.49
2020-01-06,47.26
2020-01-07,44.02
2020-01-08,55.01
2020-01-09,63.01
2020-01-10,49.94
2020-01-13,61.8
2020-01-14,64.19
2020-01-15,59.73
2020-01-16,80.12
2020-01-17,66.9
2020-01-21,46.03
2020-01-22,43.69
2020-01-23,39.63
2020-01-24,21.23
2020-01-27,13.22
2020-01-28,30.62
2020-01-29,30.62
2020-01-30,41.2
2020-01-31,14.75
2020-02-03,37
2020-02-04,69.41
2020-02-05,82.36
2020-02-06,78.59
2020-02-07,42.4
2020-02-10,48.72
2020-02-11,59.18
2020-02-12,70.3
2020-02-13,70.71
2020-02-14,56.12
2020-02-18,45.4
