date,value
2018-12-07,26.69
2018-12-10,27.39
2018-12-11,27.62
2018-12-12,29.36
2018-12-13,26.94
2018-12-14,24.54
2018-12-17,20.6
2018-12-18,20.1
2018-12-19,17.77
2018-12-20,15.65
2018-12-21,13.04
2018-12-24,11.33
2018-12-26,14.79
2018-12-27,16.31
2018-12-28,16.51
2018-12-31,18.43
2019-01-02,17.65
2019-01-03,15.09
2019-01-04,19.85
2019-01-07,22.33
2019-01-08,25.17
2019-01-09,26.29
2019-01-10,27.54
2019-01-11,28.15
2019-01-14,25.12
2019-01-15,26.75
2019-01-16,27.36
2019-01-17,28.48
2019-01-18,31.12
2019-01-22,27.87
2019-01-23,28
2019-01-24,29.05
2019-01-25,31.29
2019-01-28,30.07
2019-01-29,28.84
2019-01-30,32.92
2019-01-31,35.16
2019-02-01,36.9
2019-02-04,39.63
2019-02-05,41.46
2019-02-06,41.56
2019-02-07,38.61
2019-02-08,38
2019-02-11,39.53
2019-02-12,42.68
2019-02-13,44.45
2019-02-14,44.5
2019-02-15,48.06
2019-02-19,48.98
2019-02-20,49.59
2019-02-21,48.06
2019-02-22,50.86
2019-02-25,51.53
2019-02-26,50.1
2019-02-27,50.4
2019-02-28,49.79
2019-03-01,51.63
2019-03-04,50.51
2019-03-05,49.18
2019-03-06,44.58
2019-03-07,42.43
2019-03-08,41
2019-03-11,46.42
2019-03-12,45.24
2019-03-13,45.75
2019-03-14,45.03
2019-03-15,47.28
2019-03-18,48.82
2019-03-19,46.67
2019-03-20,45.75
2019-03-21,48.2
2019-03-22,41.35
2019-03-25,41.39
2019-03-26,44.05
2019-03-27,42.72
2019-03-28,44.26
2019-03-29,45.9
2019-04-01,48.66
2019-04-02,48.81
2019-04-03,49.53
2019-04-04,50.25
2019-04-05,52.82
2019-04-08,52.46
2019-04-09,49.17
2019-04-10,51.85
2019-04-11,51.13
2019-04-12,52.57
2019-04-15,51.44
2019-04-16,53.6
2019-04-17,51.33
2019-04-18,50.51
2019-04-22,50.3
2019-04-23,54.63
2019-04-24,54.84
2019-04-25,54.22
2019-04-26,55.77
2019-04-29,57.01
2019-04-30,54.74
2019-05-01,52.37
2019-05-02,54.05
2019-05-03,58.27
2019-05-06,58.68
2019-05-07,53.29
2019-05-08,51.85
2019-05-09,50.92
2019-05-10,51.74
2019-05-13,43.72
2019-05-14,46.91
2019-05-15,47.83
2019-05-16,48.55
2019-05-17,46.7
2019-05-20,46.34
2019-05-21,48.91
2019-05-22,46.85
2019-05-23,40.78
2019-05-24,42.32
2019-05-28,40.82
2019-05-29,39.38
2019-05-30,39.38
2019-05-31,37.1
2019-06-03,36.58
2019-06-04,42.75
2019-06-05,42.54
2019-06-06,40.9
2019-06-07,43.06
2019-06-10,44.7
2019-06-11,44.8
2019-06-12,45.63
2019-06-13,46.86
2019-06-14,44.8
2019-06-17,45.67
2019-06-18,50.61
2019-06-19,51.59
2019-06-20,52.52
2019-06-21,50.92
2019-06-24,48.76
2019-06-25,47.21
2019-06-26,47.31
2019-06-27,51.95
2019-06-28,56.86
2019-07-01,57.17
