month,job_cuts,confirmed,ai_cited_ytd,source_url
1994-01,108900,1,,tradingview:ECONOMICS:USJC
1994-02,34600,1,,tradingview:ECONOMICS:USJC
1994-03,49000,1,,tradingview:ECONOMICS:USJC
1994-04,36100,1,,tradingview:ECONOMICS:USJC
1994-05,36300,1,,tradingview:ECONOMICS:USJC
1994-06,35000,1,,tradingview:ECONOMICS:USJC
1994-07,19100,1,,tradingview:ECONOMICS:USJC
1994-08,46400,1,,tradingview:ECONOMICS:USJC
1994-09,52200,1,,tradingview:ECONOMICS:USJC
1994-10,42400,1,,tradingview:ECONOMICS:USJC
1994-11,28500,1,,tradingview:ECONOMICS:USJC
1994-12,27500,1,,tradingview:ECONOMICS:USJC
1995-01,39000,1,,tradingview:ECONOMICS:USJC
1995-02,30900,1,,tradingview:ECONOMICS:USJC
1995-03,27800,1,,tradingview:ECONOMICS:USJC
1995-04,15700,1,,tradingview:ECONOMICS:USJC
1995-05,58500,1,,tradingview:ECONOMICS:USJC
1995-06,40400,1,,tradingview:ECONOMICS:USJC
1995-07,23300,1,,tradingview:ECONOMICS:USJC
1995-08,33300,1,,tradingview:ECONOMICS:USJC
1995-09,33200,1,,tradingview:ECONOMICS:USJC
1995-10,41300,1,,tradingview:ECONOMICS:USJC
1995-11,41300,1,,tradingview:ECONOMICS:USJC
1995-12,55200,1,,tradingview:ECONOMICS:USJC
1996-01,97400,1,,tradingview:ECONOMICS:USJC
1996-02,33800,1,,tradingview:ECONOMICS:USJC
1996-03,37500,1,,tradingview:ECONOMICS:USJC
1996-04,30800,1,,tradingview:ECONOMICS:USJC
1996-05,30800,1,,tradingview:ECONOMICS:USJC
1996-06,40200,1,,tradingview:ECONOMICS:USJC
1996-07,41800,1,,tradingview:ECONOMICS:USJC
1996-08,20300,1,,tradingview:ECONOMICS:USJC
1996-09,29600,1,,tradingview:ECONOMICS:USJC
1996-10,47900,1,,tradingview:ECONOMICS:USJC
1996-11,29500,1,,tradingview:ECONOMICS:USJC
1996-12,37400,1,,tradingview:ECONOMICS:USJC
1997-01,43600,1,,tradingview:ECONOMICS:USJC
1997-02,40500,1,,tradingview:ECONOMICS:USJC
1997-03,50200,1,,tradingview:ECONOMICS:USJC
1997-04,15200,1,,tradingview:ECONOMICS:USJC
1997-05,21000,1,,tradingview:ECONOMICS:USJC
1997-06,15100,1,,tradingview:ECONOMICS:USJC
1997-07,48300,1,,tradingview:ECONOMICS:USJC
1997-08,26900,1,,tradingview:ECONOMICS:USJC
1997-09,20700,1,,tradingview:ECONOMICS:USJC
1997-10,47300,1,,tradingview:ECONOMICS:USJC
1997-11,47200,1,,tradingview:ECONOMICS:USJC
1997-12,58300,1,,tradingview:ECONOMICS:USJC
1998-01,72200,1,,tradingview:ECONOMICS:USJC
1998-02,43900,1,,tradingview:ECONOMICS:USJC
1998-03,23000,1,,tradingview:ECONOMICS:USJC
