month,value
2003-01,57.5
2003-02,65.5
2003-03,70
2003-04,63.5
2003-05,51.5
2003-06,56.5
2003-07,53
2003-08,53
2003-09,56
2003-10,58.5
2003-11,64
2003-12,66
2004-01,75.5
2004-02,81.5
2004-03,86
2004-04,88
2004-05,86
2004-06,81
2004-07,77
2004-08,81.5
2004-09,76
2004-10,78.5
2004-11,74
2004-12,72
2005-01,69
2005-02,65.5
2005-03,73
2005-04,71
2005-05,58
2005-06,50.5
2005-07,48.5
2005-08,62.5
2005-09,78
2005-10,84
2005-11,74
2005-12,63
2006-01,65
2006-02,62.5
2006-03,66.5
2006-04,71.5
2006-05,77
2006-06,76.5
2006-07,78.5
2006-08,73
2006-09,61
2006-10,47
2006-11,53.5
2006-12,47.5
2007-01,53.6
2007-02,62.5
2007-03,65.5
2007-04,73
2007-05,72.6
2007-06,67.1
2007-07,67.4
2007-08,62.9
2007-09,60.4
2007-10,63.9
2007-11,72
2007-12,65.7
2008-01,76.2
2008-02,75.7
2008-03,83.1
2008-04,83.9
2008-05,88.1
2008-06,91.4
2008-07,90.4
2008-08,76.5
2008-09,55.1
2008-10,39.8
2008-11,28.4
2008-12,17.1
2009-01,29
2009-02,29.9
2009-03,31.6
2009-04,31.4
2009-05,45
2009-06,47.9
2009-07,52.8
2009-08,62.3
2009-09,63.3
2009-10,64.3
2009-11,55.4
2009-12,63.8
2010-01,68
2010-02,65.1
2010-03,75.2
2010-04,78
2010-05,77
2010-06,54.9
2010-07,55.6
2010-08,61.8
2010-09,69.8
2010-10,73.8
2010-11,69
2010-12,73.3
2011-01,79.6
2011-02,80.2
2011-03,82.3
2011-04,82.6
2011-05,77.9
2011-06,70.3
2011-07,59.1
2011-08,57.5
2011-09,57
2011-10,41.4
2011-11,48.1
2011-12,45.4
2012-01,53.5
2012-02,60.1
2012-03,62.3
2012-04,61
2012-05,47.2
2012-06,35.7
2012-07,39.4
2012-08,54.4
2012-09,60
2012-10,55.5
2012-11,52.1
2012-12,54
2013-01,56.9
2013-02,62.2
2013-03,53.7
2013-04,48.5
2013-05,49.9
2013-06,50.7
2013-07,48.4
2013-08,52.8
2013-09,57.4
2013-10,55
2013-11,51.7
2013-12,51.7
2014-01,60.3
2014-02,59.8
2014-03,59
2014-04,55.9
2014-05,58.7
2014-06,57
2014-07,60.1
2014-08,56.9
2014-09,58.7
2014-10,52.7
2014-11,44.4
2014-12,37.8
2015-01,35.1
2015-02,35.2
2015-03,40.1
2015-04,41.6
2015-05,49
2015-06,49.7
2015-07,45.1
2015-08,38.8
2015-09,37.6
2015-10,39.8
2015-11,35.7
2015-12,33.9
2016-01,33.9
2016-02,38.3
2016-03,52.1
2016-04,57.9
2016-05,61.4
2016-06,59.8
2016-07,54.9
2016-08,53.6
2016-09,53.1
2016-10,54.8
2016-11,53.5
2016-12,64.2
2017-01,67.9
2017-02,66.9
2017-03,68.8
2017-04,68.3
2017-05,59.5
2017-06,53
2017-07,61.7
2017-08,61.7
2017-09,71.5
2017-10,68.1
2017-11,64.8
2017-12,68.3
2018-01,72.7
2018-02,74.2
2018-03,78.1
2018-04,79.3
2018-05,79.5
2018-06,76.8
2018-07,73.2
2018-08,72.1
2018-09,66.9
2018-10,71.6
2018-11,60.7
2018-12,54.9
2019-01,49.6
2019-02,49.4
2019-03,54.3
2019-04,50
2019-05,53.2
2019-06,47.9
2019-07,45.1
2019-08,46
2019-09,49.7
2019-10,45.5
2019-11,46.7
2019-12,51.7
2020-01,53.3
2020-02,45.9
2020-03,37.4
2020-04,35.3
2020-05,40.8
2020-06,51.3
2020-07,53.2
2020-08,59.5
2020-09,62.8
2020-10,65.5
2020-11,65.4
2020-12,77.6
2021-01,82.1
2021-02,86
2021-03,85.6
2021-04,89.6
2021-05,88
2021-06,92.1
2021-07,85.7
2021-08,79.4
2021-09,81.2
2021-10,85.7
2021-11,82.4
2021-12,68.2
2022-01,76.1
2022-02,75.6
2022-03,87.1
2022-04,84.6
2022-05,82.2
2022-06,78.5
2022-07,60
2022-08,52.5
2022-09,51.7
2022-10,46.6
2022-11,43
2022-12,39.4
2023-01,44.5
2023-02,51.3
2023-03,49.2
2023-04,53.2
2023-05,44.2
2023-06,41.8
2023-07,42.6
2023-08,48.4
2023-09,43.8
2023-10,45.1
2023-11,49.9
2023-12,45.2
2024-01,52.9
2024-02,52.5
2024-03,55.8
2024-04,60.9
2024-05,57
2024-06,52.1
2024-07,52.9
2024-08,54
2024-09,48.3
2024-10,54.8
2024-11,50.3
2024-12,52.5
2025-01,54.9
2025-02,62.4
2025-03,69.4
2025-04,69.8
2025-05,69.4
2025-06,69.7
2025-07,64.8
2025-08,63.7
2025-09,61.9
2025-10,58
2025-11,58.5
2025-12,58.5
2026-01,59
2026-02,70.5
2026-03,78.3
2026-04,84.6
2026-05,82.1
2026-06,73
2026-07,71.1
2026-08,71.1
