month,value
2000-01,57.7
2000-02,58.2
2000-03,60.5
2000-04,61.1
2000-05,59.8
2000-06,60.3
2000-07,56.5
2000-08,61.3
2000-09,59.8
2000-10,58.6
2000-11,59.7
2000-12,57.5
2001-01,52.5
2001-02,51.5
2001-03,50
2001-04,48.3
2001-05,47.9
2001-06,51.6
2001-07,48.1
2001-08,47.4
2001-09,49.7
2001-10,40.5
2001-11,49.4
2001-12,50.7
2002-01,49.8
2002-02,57.5
2002-03,57.1
2002-04,56.3
2002-05,60.5
2002-06,56.1
2002-07,52.1
2002-08,51.9
2002-09,54.9
2002-10,53.1
2002-11,56.8
2002-12,55.5
2003-01,56.2
2003-02,55.6
2003-03,46.3
2003-04,50.7
2003-05,54.6
2003-06,59.2
2003-07,62.7
2003-08,65.1
2003-09,63.8
2003-10,64.4
2003-11,61.1
2003-12,60
2004-01,67.7
2004-02,62.5
2004-03,62.3
2004-04,64
2004-05,62.6
2004-06,59.2
2004-07,63.2
2004-08,59.7
2004-09,60
2004-10,61
2004-11,62.8
2004-12,65
2005-01,62.5
2005-02,61.9
2005-03,61.3
2005-04,58.6
2005-05,57.5
2005-06,60.7
2005-07,61.3
2005-08,64.8
2005-09,55.2
2005-10,59.2
2005-11,59.2
2005-12,60.1
2006-01,58.6
2006-02,61.8
2006-03,60
2006-04,61.3
2006-05,58.1
2006-06,56.4
2006-07,56.3
2006-08,56.7
2006-09,54.4
2006-10,56.9
2006-11,59.2
2006-12,56.1
2007-01,57.6
2007-02,56.1
2007-03,53.1
2007-04,56.1
2007-05,58.3
2007-06,59.2
2007-07,57
2007-08,55.8
2007-09,54.8
2007-10,55.2
2007-11,56
2007-12,53.2
2008-01,41.4
2008-02,52.1
2008-03,52
2008-04,51
2008-05,53.6
2008-06,49.6
2008-07,51
2008-08,51.2
2008-09,50.6
2008-10,43.9
2008-11,34.4
2008-12,38.5
2009-01,43.9
2009-02,40.9
2009-03,43.2
2009-04,45.2
2009-05,43.3
2009-06,48.8
2009-07,47.2
2009-08,52
2009-09,53.5
2009-10,54.9
2009-11,51.6
2009-12,52.5
2010-01,51.6
2010-02,53.3
2010-03,57.8
2010-04,59.9
2010-05,61.3
2010-06,59.3
2010-07,57.3
2010-08,55.4
2010-09,52.9
2010-10,59.8
2010-11,59.1
2010-12,62.3
2011-01,61.6
2011-02,63.8
2011-03,58.6
2011-04,57
2011-05,54.9
2011-06,56.3
2011-07,56.3
2011-08,55.7
2011-09,56.2
2011-10,54
2011-11,55.8
2011-12,56
2012-01,61.2
2012-02,60.6
2012-03,59.3
2012-04,57
2012-05,56
2012-06,56
2012-07,54.8
2012-08,52.2
2012-09,57.8
2012-10,57.5
2012-11,57.4
2012-12,61.7
2013-01,57.3
2013-02,58.5
2013-03,59.3
2013-04,55.8
2013-05,57.2
2013-06,54.8
2013-07,59.1
2013-08,55.9
2013-09,55.1
2013-10,57.6
2013-11,53.3
2013-12,56.4
2014-01,57.8
2014-02,56.9
2014-03,57
2014-04,60.4
