month,value
1997-07,50.9
1997-08,53.3
1997-09,53.1
1997-10,53.1
1997-11,54.3
1997-12,54.9
1998-01,52.7
1998-02,51.6
1998-03,47.9
1998-04,46.8
1998-05,47.2
1998-06,45.5
1998-07,47
1998-08,47.9
1998-09,46.2
1998-10,49.3
1998-11,47.3
1998-12,48.5
1999-01,47
1999-02,45.5
1999-03,48.9
1999-04,51.4
1999-05,52.9
1999-06,53.2
1999-07,57.7
1999-08,58.9
1999-09,64.2
1999-10,58.9
1999-11,61
1999-12,60.5
2000-01,61.4
2000-02,66.5
2000-03,68.6
2000-04,65
2000-05,64.2
2000-06,65
2000-07,62.1
2000-08,59.2
2000-09,62.1
2000-10,63.7
2000-11,60.9
2000-12,63.5
2001-01,61.8
2001-02,58.1
2001-03,55.8
2001-04,53.8
2001-05,58.5
2001-06,54.5
2001-07,49.9
2001-08,48.9
2001-09,50.2
2001-10,43.4
2001-11,41.3
2001-12,42.3
2002-01,48.8
2002-02,47.6
2002-03,49.2
2002-04,53.7
2002-05,55.2
2002-06,53.1
2002-07,60.5
2002-08,55.1
2002-09,53.4
2002-10,56.1
2002-11,57.6
2002-12,56.5
2003-01,58
2003-02,60.5
2003-03,59.4
2003-04,55.7
2003-05,50
2003-06,52.3
2003-07,51.4
2003-08,56.1
2003-09,59.5
2003-10,57.2
2003-11,58.5
2003-12,61.1
2004-01,62.2
2004-02,59.5
2004-03,65
2004-04,68.6
2004-05,71
2004-06,74.2
2004-07,71.9
2004-08,70.9
2004-09,67
2004-10,72.8
2004-11,70.6
2004-12,71.3
2005-01,69.1
2005-02,69.7
2005-03,65.6
2005-04,62.4
2005-05,57.6
2005-06,58.4
2005-07,65.8
2005-08,66.1
2005-09,83.5
2005-10,79.2
2005-11,72.6
2005-12,68.9
2006-01,69.9
2006-02,67.8
2006-03,60.1
2006-04,68.5
2006-05,70.5
2006-06,69
2006-07,70.6
2006-08,72.2
2006-09,60.6
2006-10,56.5
2006-11,56.7
2006-12,60.5
2007-01,57.5
2007-02,57
2007-03,64.2
2007-04,63.2
2007-05,62.8
2007-06,61.6
2007-07,59.7
2007-08,60
2007-09,66.7
2007-10,66.2
2007-11,75.3
2007-12,72
2008-01,71.6
2008-02,71.7
2008-03,72.7
2008-04,71.9
2008-05,75.2
2008-06,79.6
2008-07,77.4
2008-08,72.4
2008-09,71.9
2008-10,53.9
2008-11,37.4
2008-12,36.1
2009-01,41.7
2009-02,48.6
2009-03,40
2009-04,39.9
2009-05,47.1
2009-06,52.9
2009-07,41.5
2009-08,60.8
2009-09,49.6
2009-10,53.5
2009-11,58.9
2009-12,58.9
2010-01,59.4
2010-02,58.7
2010-03,60.9
2010-04,63.8
2010-05,60.8
2010-06,56.7
2010-07,56.1
2010-08,59.2
2010-09,59.5
2010-10,68.2
2010-11,65.6
2010-12,69.3
2011-01,70
2011-02,70.9
2011-03,70.9
2011-04,71
2011-05,70.3
2011-06,62.4
2011-07,60.7
2011-08,61.3
2011-09,60.9
2011-10,57.7
2011-11,63.4
2011-12,62.2
2012-01,63.8
2012-02,65.4
2012-03,63.7
2012-04,58.7
2012-05,54
2012-06,48.5
2012-07,52.8
2012-08,62.1
2012-09,65
2012-10,60.9
2012-11,58.3
2012-12,58.3
2013-01,60
2013-02,59.9
2013-03,55.6
2013-04,53.8
2013-05,53
2013-06,53.7
2013-07,55.3
2013-08,53.5
2013-09,56.4
2013-10,56.2
2013-11,53.2
2013-12,56.9
2014-01,60
2014-02,56.4
2014-03,58.1
2014-04,61
2014-05,58.5
2014-06,58.6
2014-07,58.1
2014-08,57.7
2014-09,55.1
2014-10,52
2014-11,54.5
2014-12,51.1
2015-01,47.3
2015-02,50.9
2015-03,53.6
2015-04,50.4
2015-05,53.7
2015-06,52.3
2015-07,52.5
2015-08,51.1
2015-09,48.4
2015-10,48.3
2015-11,48.8
2015-12,50.6
2016-01,47
2016-02,45.9
2016-03,50.6
2016-04,53.9
2016-05,55
2016-06,55.9
2016-07,52.6
2016-08,52
2016-09,52.8
2016-10,54.8
2016-11,54.6
2016-12,56.3
2017-01,57.2
2017-02,57.9
2017-03,54.4
2017-04,58.3
2017-05,49.6
2017-06,53.6
2017-07,56.3
2017-08,58
2017-09,64.7
2017-10,61.1
2017-11,59.2
2017-12,61.2
2018-01,61.7
2018-02,62.4
2018-03,61.5
2018-04,62.3
2018-05,63.9
2018-06,61.1
2018-07,63.4
2018-08,62.3
2018-09,62.8
2018-10,61.1
2018-11,62.9
2018-12,59.1
2019-01,59.1
2019-02,55.8
2019-03,58.2
2019-04,56.1
2019-05,55.8
2019-06,58.2
2019-07,56.5
2019-08,58
2019-09,59.5
2019-10,56.4
2019-11,57
2019-12,59.8
2020-01,56.5
2020-02,52.5
2020-03,50.4
2020-04,55.1
2020-05,55.1
2020-06,61.1
2020-07,57.5
2020-08,64.2
2020-09,59.9
2020-10,62.8
2020-11,64.3
2020-12,65.7
2021-01,65.1
2021-02,71.8
2021-03,72.9
2021-04,75
2021-05,78.2
2021-06,78
2021-07,82.3
2021-08,76.7
2021-09,80.6
2021-10,83.2
2021-11,83
2021-12,84.5
2022-01,82.9
2022-02,83.2
2022-03,82.9
2022-04,83.2
2022-05,80.9
2022-06,79.1
2022-07,73.2
2022-08,72.3
2022-09,69.8
2022-10,70.9
2022-11,70.1
2022-12,68.1
2023-01,67.8
2023-02,65.6
2023-03,59.5
2023-04,59.6
2023-05,56.2
2023-06,54.1
2023-07,56.8
2023-08,58.9
2023-09,58.9
2023-10,58.6
2023-11,57.6
2023-12,56.7
2024-01,64
2024-02,58.6
2024-03,53.4
2024-04,59.2
2024-05,58.1
2024-06,56.3
2024-07,57
2024-08,57.3
2024-09,59.4
2024-10,58.1
2024-11,58.2
2024-12,64.4
2025-01,60.4
2025-02,62.6
2025-03,60.9
2025-04,65.1
2025-05,68.7
2025-06,67.5
2025-07,69.9
2025-08,69.2
2025-09,69.4
2025-10,70
2025-11,65.4
2025-12,65.1
2026-01,66.6
2026-02,63
2026-03,70.7
2026-04,70.7
2026-05,71.3
2026-06,67.7
2026-07,70.3
2026-08,72.6
